time_min,temp_C,OD600,strain,well,media,neg_selection,pos_selection,operator,repressor,volume_marker,date,run_number
649.5833333333334,37.1,0.75,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
674.5833333333334,37.0,0.755,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
699.5833333333334,37.0,0.76,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
724.5833333333334,37.1,0.764,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
749.5833333333334,37.0,0.769,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
774.5833333333334,37.0,0.773,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
799.5833333333334,37.1,0.778,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
824.5833333333334,37.1,0.7829999999999999,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
849.5833333333334,37.0,0.7879999999999999,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
874.5833333333334,37.0,0.7929999999999999,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
899.5833333333334,37.1,0.7979999999999999,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
924.5833333333334,37.0,0.8009999999999999,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
949.5833333333334,37.0,0.805,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
974.5833333333334,37.1,0.809,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
999.5833333333334,37.1,0.812,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
1024.5833333333333,37.1,0.818,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
1049.5833333333333,37.0,0.8220000000000001,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
1074.5833333333333,37.1,0.826,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
1099.5833333333333,37.1,0.831,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
1124.5833333333333,37.0,0.8340000000000001,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
1149.5833333333333,37.0,0.838,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
1174.5833333333333,37.1,0.8420000000000001,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
1199.5833333333333,37.1,0.846,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
1224.5833333333333,37.1,0.847,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
1249.5833333333333,37.0,0.853,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
1274.5833333333333,37.1,0.852,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
1299.5833333333333,37.1,0.848,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
1324.5833333333333,37.1,0.8420000000000001,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
1349.5833333333333,37.0,0.835,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
1374.5833333333333,37.1,0.8290000000000001,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
24.583333333333332,37.1,0.043,O1_R22_G_mCherry,B06,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,22.0,mCherry,20200903,1
49.583333333333336,37.1,0.044000000000000004,O1_R22_G_mCherry,B06,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,22.0,mCherry,20200903,1
74.58333333333333,37.1,0.046,O1_R22_G_mCherry,B06,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,22.0,mCherry,20200903,1
99.58333333333333,37.0,0.049,O1_R22_G_mCherry,B06,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,22.0,mCherry,20200903,1
124.58333333333333,37.0,0.052000000000000005,O1_R22_G_mCherry,B06,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,22.0,mCherry,20200903,1
149.58333333333334,37.0,0.057,O1_R22_G_mCherry,B06,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,22.0,mCherry,20200903,1
174.58333333333334,37.0,0.063,O1_R22_G_mCherry,B06,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,22.0,mCherry,20200903,1
