time_min,temp_C,OD600,strain,well,media,pos_selection,operator,repressor,volume_marker,date,run_number
44.11666666666667,37.0,0.044000000000000004,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
59.11666666666667,37.1,0.045,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
74.11666666666666,37.0,0.046,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
89.11666666666666,37.0,0.064,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
104.11666666666666,37.0,0.05,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
119.11666666666666,37.1,0.052000000000000005,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
134.11666666666667,37.0,0.055,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
149.11666666666667,37.1,0.057999999999999996,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
164.11666666666667,37.0,0.061,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
179.11666666666667,37.1,0.064,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
194.11666666666667,37.1,0.07,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
209.11666666666667,37.1,0.076,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
224.11666666666667,37.1,0.083,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
239.11666666666667,37.1,0.092,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
254.11666666666667,37.1,0.10099999999999999,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
269.1166666666667,37.1,0.109,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
284.1166666666667,37.0,0.121,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
